Berlin,Kiev,London,Los Angeles,New York,Toronto
47.378465,43.94612,48.615635,60.320105,48.57338,41.771074999999996
47.256139999999995,44.00795,48.13721,60.003545,48.46379,41.441915
47.56637,44.214304999999996,48.753785,59.823229999999995,49.190225000000005,42.423665
47.67071,44.390645,48.633815,59.98982,48.771125,42.06287
48.252545000000005,44.53088,48.946175000000004,59.55107,49.143350000000005,42.29345
47.896955000000005,44.443055,49.05779,60.26534,49.326335,42.303575
48.78026,45.443284999999996,49.539215,60.87017,50.217755000000004,43.380019999999995
48.017450000000004,44.06078,49.562554999999996,60.237049999999996,49.992844999999996,43.22354
48.302735,44.846914999999996,49.413485,60.726665000000004,50.46551,43.490285
48.126125,45.138335,48.94142,60.458345,49.38308,42.73928
48.58628,45.35315,49.437725,60.44495,49.92032,42.865805
48.694745000000005,45.131885000000004,49.38614,61.316525,50.121965,43.39475
49.67906000000001,46.202014999999996,50.479655,61.511345,50.958035,44.0687
50.517410000000005,47.48471,51.19715,61.96703,51.078065,44.479415
49.61148636363637,48.14935454545455,50.24782727272727,61.972120000000004,52.98764,46.440000000000005
